rank_test_score,params,mean_test_score,std_test_score
1,"OrderedDict({'num_dense': 1, 'size_cnn': 475, 'size_dense': 479})",0.526975867269985,0.06765771778324366
2,"OrderedDict({'num_dense': 14, 'size_cnn': 331, 'size_dense': 346})",0.520718954248366,0.09529308659348795
3,"OrderedDict({'num_dense': 20, 'size_cnn': 487, 'size_dense': 487})",0.5145536690328919,0.11834355912087924
4,"OrderedDict({'num_dense': 20, 'size_cnn': 498, 'size_dense': 31})",0.49666666666666665,0.036817870057290876
5,"OrderedDict({'num_dense': 15, 'size_cnn': 409, 'size_dense': 393})",0.48297859098829976,0.15012201556301558
6,"OrderedDict({'num_dense': 20, 'size_cnn': 25, 'size_dense': 19})",0.47313915857605177,0.055384262693285176
7,"OrderedDict({'num_dense': 13, 'size_cnn': 334, 'size_dense': 345})",0.47135190389398735,0.12179599844315443
8,"OrderedDict({'num_dense': 16, 'size_cnn': 43, 'size_dense': 19})",0.469512073686831,0.0465052312917861
9,"OrderedDict({'num_dense': 18, 'size_cnn': 334, 'size_dense': 351})",0.46883911692140084,0.02832545258506948
10,"OrderedDict({'num_dense': 16, 'size_cnn': 253, 'size_dense': 471})",0.45175514283454493,0.055572067310391264
11,"OrderedDict({'num_dense': 20, 'size_cnn': 17, 'size_dense': 420})",0.4421959888296522,0.05285163579908855
12,"OrderedDict({'num_dense': 20, 'size_cnn': 455, 'size_dense': 12})",0.4404502541757444,0.19453181150221302
13,"OrderedDict({'num_dense': 19, 'size_cnn': 304, 'size_dense': 382})",0.4351459263573416,0.0934890013252222
14,"OrderedDict({'num_dense': 20, 'size_cnn': 31, 'size_dense': 11})",0.4319496376434191,0.06970873430484692
15,"OrderedDict({'num_dense': 15, 'size_cnn': 362, 'size_dense': 347})",0.43186582809224316,0.02936862285269707
16,"OrderedDict({'num_dense': 20, 'size_cnn': 16, 'size_dense': 46})",0.4299911144960649,0.031078198719356725
17,"OrderedDict({'num_dense': 20, 'size_cnn': 498, 'size_dense': 19})",0.41353135313531353,0.0811894603983711
18,"OrderedDict({'num_dense': 20, 'size_cnn': 500, 'size_dense': 334})",0.4128949375439252,0.08048692811351689
19,"OrderedDict({'num_dense': 14, 'size_cnn': 21, 'size_dense': 43})",0.40732109467958527,0.12272934356613323
20,"OrderedDict({'num_dense': 20, 'size_cnn': 500, 'size_dense': 10})",0.40013516086046064,0.015215889930643827
21,"OrderedDict({'num_dense': 16, 'size_cnn': 20, 'size_dense': 491})",0.3977215029195227,0.1674127925326263
22,"OrderedDict({'num_dense': 15, 'size_cnn': 500, 'size_dense': 500})",0.3934615384615385,0.11849941119536803
23,"OrderedDict({'num_dense': 20, 'size_cnn': 482, 'size_dense': 475})",0.39184321105529957,0.06675893165448955
24,"OrderedDict({'num_dense': 20, 'size_cnn': 493, 'size_dense': 465})",0.3815717164315809,0.05535155497670802
