rank_test_score,params,mean_test_score,std_test_score
1,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 92, 'num_iter': 200, 'pca_dimmension': 115})",0.9090909090909091,0.007575757575757569
2,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 100, 'num_iter': 200, 'pca_dimmension': 122})",0.905,0.015000000000000013
3,"OrderedDict({'bool_scale': True, 'bool_tsne': True, 'num_cluster': 100, 'num_iter': 200, 'pca_dimmension': 95})",0.895,0.0050000000000000044
4,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 76, 'num_iter': 200, 'pca_dimmension': 89})",0.8916666666666666,0.03333333333333338
5,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 100, 'num_iter': 200, 'pca_dimmension': 110})",0.885,0.04500000000000004
5,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 100, 'num_iter': 5, 'pca_dimmension': 60})",0.885,0.0050000000000000044
5,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 100, 'num_iter': 200, 'pca_dimmension': 124})",0.885,0.03500000000000003
8,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 93, 'num_iter': 200, 'pca_dimmension': 116})",0.8828125,0.0078125
9,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 90, 'num_iter': 200, 'pca_dimmension': 112})",0.8821428571428571,0.01785714285714285
10,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 100, 'num_iter': 200, 'pca_dimmension': 85})",0.88,0.020000000000000018
10,"OrderedDict({'bool_scale': True, 'bool_tsne': True, 'num_cluster': 100, 'num_iter': 200, 'pca_dimmension': 53})",0.88,0.050000000000000044
10,"OrderedDict({'bool_scale': True, 'bool_tsne': True, 'num_cluster': 100, 'num_iter': 200, 'pca_dimmension': 126})",0.88,0.030000000000000027
13,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 77, 'num_iter': 200, 'pca_dimmension': 150})",0.8782608695652174,0.008695652173913049
14,"OrderedDict({'bool_scale': True, 'bool_tsne': True, 'num_cluster': 100, 'num_iter': 200, 'pca_dimmension': 110})",0.875,0.025000000000000022
14,"OrderedDict({'bool_scale': True, 'bool_tsne': True, 'num_cluster': 100, 'num_iter': 200, 'pca_dimmension': 69})",0.875,0.0050000000000000044
16,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 67, 'num_iter': 105, 'pca_dimmension': 77})",0.8636363636363636,0.033333333333333326
17,"OrderedDict({'bool_scale': True, 'bool_tsne': True, 'num_cluster': 85, 'num_iter': 5, 'pca_dimmension': 150})",0.8625,0.012500000000000011
18,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 88, 'num_iter': 200, 'pca_dimmension': 91})",0.8614864864864865,0.0033783783783783994
19,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 100, 'num_iter': 5, 'pca_dimmension': 150})",0.86,0.040000000000000036
20,"OrderedDict({'bool_scale': True, 'bool_tsne': True, 'num_cluster': 57, 'num_iter': 200, 'pca_dimmension': 109})",0.8564356435643564,0.004950495049504955
21,"OrderedDict({'bool_scale': True, 'bool_tsne': True, 'num_cluster': 100, 'num_iter': 200, 'pca_dimmension': 150})",0.855,0.015000000000000013
21,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 100, 'num_iter': 200, 'pca_dimmension': 72})",0.855,0.04499999999999999
21,"OrderedDict({'bool_scale': True, 'bool_tsne': True, 'num_cluster': 100, 'num_iter': 5, 'pca_dimmension': 125})",0.855,0.015000000000000013
24,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 89, 'num_iter': 200, 'pca_dimmension': 136})",0.8506944444444444,0.02430555555555558
25,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 100, 'num_iter': 200, 'pca_dimmension': 150})",0.8500000000000001,0.06
26,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 74, 'num_iter': 200, 'pca_dimmension': 109})",0.8423076923076923,0.019230769230769273
27,"OrderedDict({'bool_scale': True, 'bool_tsne': True, 'num_cluster': 100, 'num_iter': 126, 'pca_dimmension': 95})",0.8400000000000001,0.02999999999999997
28,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 100, 'num_iter': 141, 'pca_dimmension': 150})",0.84,0.010000000000000009
29,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 87, 'num_iter': 200, 'pca_dimmension': 65})",0.8388157894736842,0.003289473684210509
30,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 57, 'num_iter': 200, 'pca_dimmension': 150})",0.8316831683168318,0.039603960396039584
31,"OrderedDict({'bool_scale': True, 'bool_tsne': True, 'num_cluster': 76, 'num_iter': 5, 'pca_dimmension': 127})",0.8291666666666666,0.012500000000000011
32,"OrderedDict({'bool_scale': True, 'bool_tsne': True, 'num_cluster': 69, 'num_iter': 200, 'pca_dimmension': 150})",0.8290322580645162,0.035483870967741915
33,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 68, 'num_iter': 105, 'pca_dimmension': 147})",0.825,0.012500000000000011
34,"OrderedDict({'bool_scale': True, 'bool_tsne': True, 'num_cluster': 61, 'num_iter': 200, 'pca_dimmension': 82})",0.8208955223880596,0.014925373134328346
35,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 46, 'num_iter': 12, 'pca_dimmension': 147})",0.8181818181818182,0.0
36,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 53, 'num_iter': 5, 'pca_dimmension': 92})",0.810077519379845,0.04263565891472865
37,"OrderedDict({'bool_scale': True, 'bool_tsne': True, 'num_cluster': 100, 'num_iter': 5, 'pca_dimmension': 93})",0.8049999999999999,0.014999999999999958
38,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 44, 'num_iter': 200, 'pca_dimmension': 117})",0.7884615384615384,0.06730769230769229
39,"OrderedDict({'bool_scale': True, 'bool_tsne': True, 'num_cluster': 63, 'num_iter': 95, 'pca_dimmension': 57})",0.7868852459016393,0.024590163934426257
40,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 43, 'num_iter': 139, 'pca_dimmension': 46})",0.7743362831858407,0.03982300884955753
41,"OrderedDict({'bool_scale': True, 'bool_tsne': True, 'num_cluster': 44, 'num_iter': 5, 'pca_dimmension': 150})",0.7740384615384616,0.004807692307692291
42,"OrderedDict({'bool_scale': True, 'bool_tsne': True, 'num_cluster': 28, 'num_iter': 160, 'pca_dimmension': 60})",0.7407407407407407,0.02777777777777779
43,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 28, 'num_iter': 69, 'pca_dimmension': 146})",0.7268518518518519,0.013888888888888895
44,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 35, 'num_iter': 191, 'pca_dimmension': 7})",0.7217391304347827,0.008695652173913049
45,"OrderedDict({'bool_scale': True, 'bool_tsne': True, 'num_cluster': 16, 'num_iter': 199, 'pca_dimmension': 106})",0.6699999999999999,0.02999999999999997
46,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 13, 'num_iter': 153, 'pca_dimmension': 133})",0.5909090909090909,0.0
47,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 11, 'num_iter': 93, 'pca_dimmension': 132})",0.5576923076923077,0.009615384615384581
48,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 86, 'num_iter': 5, 'pca_dimmension': 2})",0.41025641025641024,0.03205128205128205
49,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 100, 'num_iter': 200, 'pca_dimmension': 2})",0.4,0.01999999999999999
50,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 10, 'num_iter': 5, 'pca_dimmension': 2})",0.355,0.04500000000000001
