rank_test_score,params,mean_test_score,std_test_score
1,"OrderedDict({'num_dense': 1, 'size_cnn': 59, 'size_dense': 326})",0.98,0.010000000000000009
1,"OrderedDict({'num_dense': 1, 'size_cnn': 16, 'size_dense': 411})",0.98,0.020000000000000018
3,"OrderedDict({'num_dense': 14, 'size_cnn': 191, 'size_dense': 138})",0.975,0.0050000000000000044
3,"OrderedDict({'num_dense': 12, 'size_cnn': 403, 'size_dense': 101})",0.975,0.0050000000000000044
3,"OrderedDict({'num_dense': 6, 'size_cnn': 398, 'size_dense': 217})",0.975,0.0050000000000000044
6,"OrderedDict({'num_dense': 15, 'size_cnn': 452, 'size_dense': 138})",0.97,0.010000000000000009
6,"OrderedDict({'num_dense': 2, 'size_cnn': 16, 'size_dense': 193})",0.97,0.020000000000000018
8,"OrderedDict({'num_dense': 13, 'size_cnn': 322, 'size_dense': 147})",0.965,0.015000000000000013
8,"OrderedDict({'num_dense': 8, 'size_cnn': 129, 'size_dense': 500})",0.965,0.0050000000000000044
8,"OrderedDict({'num_dense': 5, 'size_cnn': 500, 'size_dense': 215})",0.965,0.025000000000000022
8,"OrderedDict({'num_dense': 1, 'size_cnn': 470, 'size_dense': 500})",0.965,0.0050000000000000044
8,"OrderedDict({'num_dense': 7, 'size_cnn': 16, 'size_dense': 275})",0.965,0.025000000000000022
8,"OrderedDict({'num_dense': 1, 'size_cnn': 498, 'size_dense': 111})",0.965,0.0050000000000000044
8,"OrderedDict({'num_dense': 1, 'size_cnn': 190, 'size_dense': 481})",0.965,0.0050000000000000044
8,"OrderedDict({'num_dense': 15, 'size_cnn': 263, 'size_dense': 198})",0.965,0.0050000000000000044
8,"OrderedDict({'num_dense': 4, 'size_cnn': 16, 'size_dense': 215})",0.965,0.0050000000000000044
17,"OrderedDict({'num_dense': 18, 'size_cnn': 164, 'size_dense': 24})",0.96,0.010000000000000009
17,"OrderedDict({'num_dense': 2, 'size_cnn': 16, 'size_dense': 174})",0.96,0.020000000000000018
17,"OrderedDict({'num_dense': 7, 'size_cnn': 23, 'size_dense': 178})",0.96,0.0
17,"OrderedDict({'num_dense': 17, 'size_cnn': 109, 'size_dense': 113})",0.96,0.02999999999999997
21,"OrderedDict({'num_dense': 1, 'size_cnn': 500, 'size_dense': 354})",0.9550000000000001,0.034999999999999976
21,"OrderedDict({'num_dense': 8, 'size_cnn': 146, 'size_dense': 390})",0.9550000000000001,0.034999999999999976
23,"OrderedDict({'num_dense': 2, 'size_cnn': 343, 'size_dense': 194})",0.955,0.0050000000000000044
23,"OrderedDict({'num_dense': 17, 'size_cnn': 116, 'size_dense': 32})",0.955,0.0050000000000000044
25,"OrderedDict({'num_dense': 19, 'size_cnn': 500, 'size_dense': 87})",0.95,0.03999999999999998
25,"OrderedDict({'num_dense': 1, 'size_cnn': 265, 'size_dense': 10})",0.95,0.010000000000000009
25,"OrderedDict({'num_dense': 10, 'size_cnn': 152, 'size_dense': 408})",0.95,0.019999999999999962
28,"OrderedDict({'num_dense': 18, 'size_cnn': 500, 'size_dense': 98})",0.9450000000000001,0.034999999999999976
28,"OrderedDict({'num_dense': 1, 'size_cnn': 16, 'size_dense': 422})",0.9450000000000001,0.014999999999999958
28,"OrderedDict({'num_dense': 9, 'size_cnn': 175, 'size_dense': 207})",0.9450000000000001,0.014999999999999958
31,"OrderedDict({'num_dense': 16, 'size_cnn': 374, 'size_dense': 51})",0.945,0.0050000000000000044
31,"OrderedDict({'num_dense': 13, 'size_cnn': 500, 'size_dense': 190})",0.945,0.0050000000000000044
31,"OrderedDict({'num_dense': 15, 'size_cnn': 449, 'size_dense': 116})",0.945,0.0050000000000000044
31,"OrderedDict({'num_dense': 3, 'size_cnn': 64, 'size_dense': 324})",0.945,0.0050000000000000044
31,"OrderedDict({'num_dense': 1, 'size_cnn': 16, 'size_dense': 261})",0.945,0.0050000000000000044
36,"OrderedDict({'num_dense': 5, 'size_cnn': 17, 'size_dense': 333})",0.94,0.0
36,"OrderedDict({'num_dense': 8, 'size_cnn': 500, 'size_dense': 500})",0.94,0.02999999999999997
36,"OrderedDict({'num_dense': 4, 'size_cnn': 16, 'size_dense': 105})",0.94,0.0
39,"OrderedDict({'num_dense': 4, 'size_cnn': 420, 'size_dense': 500})",0.935,0.004999999999999949
39,"OrderedDict({'num_dense': 11, 'size_cnn': 280, 'size_dense': 500})",0.935,0.024999999999999967
41,"OrderedDict({'num_dense': 10, 'size_cnn': 416, 'size_dense': 299})",0.925,0.014999999999999958
42,"OrderedDict({'num_dense': 10, 'size_cnn': 55, 'size_dense': 126})",0.915,0.0050000000000000044
43,"OrderedDict({'num_dense': 6, 'size_cnn': 500, 'size_dense': 10})",0.885,0.015000000000000013
43,"OrderedDict({'num_dense': 20, 'size_cnn': 84, 'size_dense': 10})",0.885,0.03500000000000003
43,"OrderedDict({'num_dense': 18, 'size_cnn': 214, 'size_dense': 16})",0.885,0.0050000000000000044
46,"OrderedDict({'num_dense': 13, 'size_cnn': 48, 'size_dense': 10})",0.855,0.0050000000000000044
47,"OrderedDict({'num_dense': 19, 'size_cnn': 459, 'size_dense': 451})",0.8400000000000001,0.04999999999999999
48,"OrderedDict({'num_dense': 18, 'size_cnn': 323, 'size_dense': 445})",0.745,0.14500000000000002
49,"OrderedDict({'num_dense': 18, 'size_cnn': 123, 'size_dense': 235})",0.735,0.03500000000000003
50,"OrderedDict({'num_dense': 18, 'size_cnn': 18, 'size_dense': 500})",0.725,0.025000000000000022
