rank_test_score,params,mean_test_score,std_test_score
1,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 100, 'num_iter': 200, 'pca_dimmension': 104})",0.91,0.020000000000000018
2,"OrderedDict({'bool_scale': False, 'bool_tsne': False, 'num_cluster': 100, 'num_iter': 5, 'pca_dimmension': 150})",0.9,0.030000000000000027
3,"OrderedDict({'bool_scale': True, 'bool_tsne': False, 'num_cluster': 100, 'num_iter': 5, 'pca_dimmension': 60})",0.895,0.015000000000000013
4,"OrderedDict({'bool_scale': True, 'bool_tsne': True, 'num_cluster': 100, 'num_iter': 200, 'pca_dimmension': 63})",0.89,0.0
4,"OrderedDict({'bool_scale': True, 'bool_tsne': True, 'num_cluster': 100, 'num_iter': 200, 'pca_dimmension': 137})",0.89,0.010000000000000009
6,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 64, 'num_iter': 200, 'pca_dimmension': 137})",0.8879310344827587,0.07758620689655177
7,"OrderedDict({'bool_scale': True, 'bool_tsne': False, 'num_cluster': 100, 'num_iter': 5, 'pca_dimmension': 150})",0.885,0.025000000000000022
7,"OrderedDict({'bool_scale': True, 'bool_tsne': True, 'num_cluster': 100, 'num_iter': 5, 'pca_dimmension': 107})",0.885,0.025000000000000022
9,"OrderedDict({'bool_scale': True, 'bool_tsne': True, 'num_cluster': 100, 'num_iter': 200, 'pca_dimmension': 103})",0.88,0.030000000000000027
9,"OrderedDict({'bool_scale': False, 'bool_tsne': True, 'num_cluster': 100, 'num_iter': 200, 'pca_dimmension': 125})",0.88,0.030000000000000027
11,"OrderedDict({'bool_scale': False, 'bool_tsne': False, 'num_cluster': 86, 'num_iter': 5, 'pca_dimmension': 134})",0.875,0.022435897435897467
12,"OrderedDict({'bool_scale': True, 'bool_tsne': True, 'num_cluster': 100, 'num_iter': 5, 'pca_dimmension': 36})",0.87,0.050000000000000044
12,"OrderedDict({'bool_scale': True, 'bool_tsne': False, 'num_cluster': 100, 'num_iter': 117, 'pca_dimmension': 25})",0.87,0.010000000000000009
12,"OrderedDict({'bool_scale': True, 'bool_tsne': False, 'num_cluster': 100, 'num_iter': 5, 'pca_dimmension': 147})",0.87,0.010000000000000009
15,"OrderedDict({'bool_scale': True, 'bool_tsne': True, 'num_cluster': 75, 'num_iter': 5, 'pca_dimmension': 141})",0.868,0.0040000000000000036
