rank_test_score,params,mean_test_score,std_test_score
1,"OrderedDict({'num_dense': 1, 'size_cnn': 484, 'size_dense': 500})",0.7549648064353947,0.09910498145385455
2,"OrderedDict({'num_dense': 1, 'size_cnn': 494, 'size_dense': 487})",0.7541757443718228,0.0855996309817628
3,"OrderedDict({'num_dense': 1, 'size_cnn': 494, 'size_dense': 480})",0.7526038988570449,0.046362672050454926
4,"OrderedDict({'num_dense': 1, 'size_cnn': 500, 'size_dense': 258})",0.75027151390437,0.035914321452002546
5,"OrderedDict({'num_dense': 1, 'size_cnn': 478, 'size_dense': 500})",0.7476845784185233,0.04968025095086273
6,"OrderedDict({'num_dense': 1, 'size_cnn': 16, 'size_dense': 295})",0.7306954905349987,0.013286408587609181
7,"OrderedDict({'num_dense': 1, 'size_cnn': 474, 'size_dense': 496})",0.7256108651988867,0.042107585603844984
8,"OrderedDict({'num_dense': 1, 'size_cnn': 439, 'size_dense': 500})",0.7043497901826381,0.0702900999485931
9,"OrderedDict({'num_dense': 1, 'size_cnn': 499, 'size_dense': 453})",0.6900387881009102,0.04605163532307929
10,"OrderedDict({'num_dense': 1, 'size_cnn': 482, 'size_dense': 494})",0.6734908341947311,0.037175566552570656
11,"OrderedDict({'num_dense': 1, 'size_cnn': 500, 'size_dense': 491})",0.6703900590979387,0.09188042230808594
12,"OrderedDict({'num_dense': 1, 'size_cnn': 500, 'size_dense': 500})",0.6608357837131421,0.043444279256556424
13,"OrderedDict({'num_dense': 6, 'size_cnn': 78, 'size_dense': 364})",0.6564604658062602,0.03485433937150238
14,"OrderedDict({'num_dense': 1, 'size_cnn': 484, 'size_dense': 497})",0.6552311387294886,0.10954155839717804
15,"OrderedDict({'num_dense': 1, 'size_cnn': 497, 'size_dense': 494})",0.652991452991453,0.04469198063304275
16,"OrderedDict({'num_dense': 1, 'size_cnn': 487, 'size_dense': 491})",0.6455922229507135,0.20788791674909426
17,"OrderedDict({'num_dense': 1, 'size_cnn': 53, 'size_dense': 492})",0.6439024532081868,0.1379952946747093
18,"OrderedDict({'num_dense': 1, 'size_cnn': 250, 'size_dense': 115})",0.6336061641782095,0.2128409316440045
19,"OrderedDict({'num_dense': 1, 'size_cnn': 498, 'size_dense': 476})",0.6334371754932502,0.024704833340332962
20,"OrderedDict({'num_dense': 1, 'size_cnn': 492, 'size_dense': 499})",0.6295143800094295,0.039838852008082154
21,"OrderedDict({'num_dense': 1, 'size_cnn': 63, 'size_dense': 487})",0.6218996145466733,0.11506305127975372
22,"OrderedDict({'num_dense': 1, 'size_cnn': 466, 'size_dense': 500})",0.6194695827048767,0.07190163222472562
23,"OrderedDict({'num_dense': 1, 'size_cnn': 456, 'size_dense': 479})",0.6184420606590417,0.12534812086524103
24,"OrderedDict({'num_dense': 1, 'size_cnn': 499, 'size_dense': 499})",0.6147910731244065,0.11944677800660396
25,"OrderedDict({'num_dense': 1, 'size_cnn': 31, 'size_dense': 493})",0.6010556726160271,0.15026375061582223
26,"OrderedDict({'num_dense': 1, 'size_cnn': 247, 'size_dense': 90})",0.6007162823200559,0.02516845244412033
27,"OrderedDict({'num_dense': 1, 'size_cnn': 500, 'size_dense': 78})",0.5927200628091124,0.18230558039531858
28,"OrderedDict({'num_dense': 1, 'size_cnn': 16, 'size_dense': 500})",0.5851218865924749,0.04481517429982363
