rank_test_score,params,mean_test_score,std_test_score
1,"OrderedDict({'num_dense': 3, 'size_cnn': 197, 'size_dense': 30})",0.9844451931716082,0.01610235640490898
2,"OrderedDict({'num_dense': 6, 'size_cnn': 281, 'size_dense': 274})",0.9777772018338057,0.017958012941693455
3,"OrderedDict({'num_dense': 1, 'size_cnn': 233, 'size_dense': 183})",0.9761051612084061,0.01089860545695505
4,"OrderedDict({'num_dense': 18, 'size_cnn': 460, 'size_dense': 485})",0.9750468745702827,0.011757144699330774
5,"OrderedDict({'num_dense': 17, 'size_cnn': 469, 'size_dense': 300})",0.9704820949384657,0.02813600280895567
6,"OrderedDict({'num_dense': 20, 'size_cnn': 16, 'size_dense': 380})",0.9698644506036489,0.018242218803086692
7,"OrderedDict({'num_dense': 10, 'size_cnn': 384, 'size_dense': 301})",0.9694019031283182,0.005051067550686615
8,"OrderedDict({'num_dense': 7, 'size_cnn': 375, 'size_dense': 168})",0.969305541553248,0.0035904248457693244
9,"OrderedDict({'num_dense': 3, 'size_cnn': 217, 'size_dense': 185})",0.9691337409784012,0.011268291145689079
10,"OrderedDict({'num_dense': 3, 'size_cnn': 193, 'size_dense': 25})",0.9690759953128126,0.004082299288338694
11,"OrderedDict({'num_dense': 15, 'size_cnn': 17, 'size_dense': 175})",0.9687836585375812,0.011736203612567348
12,"OrderedDict({'num_dense': 17, 'size_cnn': 464, 'size_dense': 407})",0.968603310269977,0.011269472863206538
13,"OrderedDict({'num_dense': 18, 'size_cnn': 463, 'size_dense': 111})",0.9681329935328643,0.025853091240563612
14,"OrderedDict({'num_dense': 18, 'size_cnn': 500, 'size_dense': 37})",0.966405657994443,0.014961858864846824
15,"OrderedDict({'num_dense': 1, 'size_cnn': 209, 'size_dense': 316})",0.966011358671909,0.0038305478753661777
16,"OrderedDict({'num_dense': 2, 'size_cnn': 80, 'size_dense': 219})",0.9658974995175474,0.019418671752474543
17,"OrderedDict({'num_dense': 6, 'size_cnn': 208, 'size_dense': 182})",0.9654856091749296,0.01720529353614345
18,"OrderedDict({'num_dense': 9, 'size_cnn': 377, 'size_dense': 405})",0.9634852643030213,0.019721143904708496
19,"OrderedDict({'num_dense': 7, 'size_cnn': 364, 'size_dense': 392})",0.9629186689966507,0.0225840887452077
20,"OrderedDict({'num_dense': 10, 'size_cnn': 368, 'size_dense': 363})",0.960865346478554,0.01794696957209687
21,"OrderedDict({'num_dense': 18, 'size_cnn': 476, 'size_dense': 22})",0.9601115892378029,0.0020353999043197456
22,"OrderedDict({'num_dense': 4, 'size_cnn': 375, 'size_dense': 74})",0.9596682750623855,0.017745460528577613
23,"OrderedDict({'num_dense': 15, 'size_cnn': 414, 'size_dense': 486})",0.9591630591630591,0.018272068093037826
24,"OrderedDict({'num_dense': 15, 'size_cnn': 500, 'size_dense': 68})",0.9589214302517055,0.03546475544806793
25,"OrderedDict({'num_dense': 12, 'size_cnn': 473, 'size_dense': 123})",0.9576190476190476,0.02496558477745761
26,"OrderedDict({'num_dense': 12, 'size_cnn': 395, 'size_dense': 419})",0.9575253117503237,0.007204647378160691
27,"OrderedDict({'num_dense': 17, 'size_cnn': 479, 'size_dense': 455})",0.9571525076712422,0.015241149775609163
28,"OrderedDict({'num_dense': 1, 'size_cnn': 235, 'size_dense': 499})",0.9568111016709148,0.011557784722408303
29,"OrderedDict({'num_dense': 12, 'size_cnn': 378, 'size_dense': 150})",0.9563474629674006,0.021513808968086127
30,"OrderedDict({'num_dense': 18, 'size_cnn': 466, 'size_dense': 449})",0.9562532127516837,0.019215259263420395
31,"OrderedDict({'num_dense': 20, 'size_cnn': 463, 'size_dense': 496})",0.9559714839912337,0.01779656759448892
32,"OrderedDict({'num_dense': 8, 'size_cnn': 389, 'size_dense': 92})",0.9557201248124915,0.022573693645685528
33,"OrderedDict({'num_dense': 18, 'size_cnn': 447, 'size_dense': 454})",0.9554218675724275,0.01700175914460512
34,"OrderedDict({'num_dense': 3, 'size_cnn': 163, 'size_dense': 215})",0.95513594917613,0.017120208865019915
35,"OrderedDict({'num_dense': 1, 'size_cnn': 222, 'size_dense': 125})",0.9539379484333613,0.006957332841915289
36,"OrderedDict({'num_dense': 2, 'size_cnn': 95, 'size_dense': 124})",0.9536701385611043,0.015573805886208773
37,"OrderedDict({'num_dense': 7, 'size_cnn': 279, 'size_dense': 225})",0.9535824266941918,0.007371292366964731
38,"OrderedDict({'num_dense': 6, 'size_cnn': 271, 'size_dense': 271})",0.9525902666214922,0.028271347202712942
39,"OrderedDict({'num_dense': 15, 'size_cnn': 458, 'size_dense': 129})",0.9498626373626374,0.012400734948672939
40,"OrderedDict({'num_dense': 7, 'size_cnn': 455, 'size_dense': 26})",0.9495119259825143,0.008935407761158363
41,"OrderedDict({'num_dense': 18, 'size_cnn': 388, 'size_dense': 287})",0.9441538769327503,0.015542488936582983
42,"OrderedDict({'num_dense': 6, 'size_cnn': 289, 'size_dense': 283})",0.9438648891479081,0.014207789344197653
43,"OrderedDict({'num_dense': 6, 'size_cnn': 327, 'size_dense': 272})",0.9438506523819051,0.020470041286154095
44,"OrderedDict({'num_dense': 5, 'size_cnn': 290, 'size_dense': 450})",0.9383848680484767,0.04170549737699384
45,"OrderedDict({'num_dense': 11, 'size_cnn': 239, 'size_dense': 358})",0.9382588992651887,0.008761120280621046
46,"OrderedDict({'num_dense': 18, 'size_cnn': 43, 'size_dense': 14})",0.934195201490799,0.028011138856990324
